State,Type,Name,Office,Party,Incumbent,cm_url
Iowa,State,Jessica Lopez-Walker,Iowa House of Representatives District 2,Democratic,N,https://www.linkedin.com/in/jessica-lopez-a2579123a
Iowa,State,Spencer Waugh,Iowa House of Representatives District 21,Democratic,N,https://www.linkedin.com/in/seth-waugh
Iowa,State,Rory Taylor,Iowa House of Representatives District 22,Democratic,N,https://www.linkedin.com/in/roryataylor
Iowa,State,Sonya Hicks,Iowa House of Representatives District 24,Democratic,N,https://www.linkedin.com/in/sonya-hicks-41b54864
Iowa,State,John Campbell Jr.,Iowa House of Representatives District 34,Democratic,N,https://www.linkedin.com/in/john-campbell-85305a8
Iowa,State,Ryan Condon,Iowa House of Representatives District 51,Democratic,N,https://www.linkedin.com/in/ryancondon1
Iowa,State,Jennifer Wrage,Iowa House of Representatives District 53,Democratic,N,https://www.linkedin.com/in/jennifer-wrage
Iowa,State,Kyle Kruse,Iowa House of Representatives District 56,Democratic,N,https://www.linkedin.com/in/kyle-kruse-b2a213171
Iowa,State,Bob Kressig,Iowa House of Representatives District 75,Democratic,Y,https://www.linkedin.com/in/bob-kressig-8a736931
Iowa,State,Jarred Johnston,Iowa House of Representatives District 76,Democratic,N,https://www.linkedin.com/in/heather-matson-1698565
Iowa,State,Tracy Jones,Iowa House of Representatives District 94,Democratic,N,https://www.linkedin.com/in/tracy-jones-1411b311
Iowa,State,Mandy Moody,Iowa House of Representatives District 96,Democratic,N,https://www.linkedin.com/in/mandymoody
Kansas,Federal,Michael Soetaert,U.S. House Kansas District 4,Democratic,N,https://www.linkedin.com/in/michael-soetaert-55554824
Kentucky,Federal,Jared Randall,U.S. House Kentucky District 3,Democratic,N,https://www.linkedin.com/in/jared-randall-3ba16716a
Kentucky,State,Jamie Skudlarek,Kentucky State Senate District 5,Democratic,N,https://www.linkedin.com/in/jamie-skudlarek-673036243
Kentucky,State,Karen Pennington,Kentucky State Senate District 9,Democratic,N,https://www.linkedin.com/in/karen-pennington-057a03b
Kentucky,State,Michael Churchill,Kentucky State Senate District 33,Democratic,N,https://www.linkedin.com/in/matthew-zega-3aba7617
Kentucky,State,Fredrick Fountain,Kentucky House of Representatives District 1,Democratic,N,https://www.linkedin.com/in/claireky
Kentucky,State,Lloyd Smith,Kentucky House of Representatives District 4,Democratic,N,https://www.linkedin.com/in/paul-fellows-a94a4621
Kentucky,State,Linda Edwards,Kentucky House of Representatives District 6,Democratic,N,https://www.linkedin.com/in/linda-edwards-5320b19
Kentucky,State,John Whipple,Kentucky House of Representatives District 10,Democratic,N,https://www.linkedin.com/in/nikfernandez
Kentucky,State,Alton Ayer,Kentucky House of Representatives District 12,Democratic,N,https://www.linkedin.com/in/nicole-aghaaliandastjerdi-80633125
Kentucky,State,Chanda Garner,Kentucky House of Representatives District 14,Democratic,N,https://www.linkedin.com/in/chanda-garner-92b465149
Kentucky,State,Mitra Subedi,Kentucky House of Representatives District 30,Democratic,N,https://www.linkedin.com/in/mitra-subedi-109023120
Kentucky,State,Colleen Davis,Kentucky House of Representatives District 31,Democratic,N,https://www.linkedin.com/in/colleen-davis-86436b141
