State,Type,Name,Office,Party,Incumbent,fd_url
Illinois,State,LaToya Greenwood,Illinois House of Representatives District 114,Democratic,N,https://www.linkedin.com/in/peggy-lewis-lecompte-18591410
Illinois,Local,Jennifer Callahan,Cook County Circuit Court,Democratic,Y,https://www.linkedin.com/in/araceli-de-la-cruz-629b4922
Illinois,Local,Corinne Heggie,Cook County Circuit Court,Democratic,Y,https://www.linkedin.com/in/debjani-desai
Illinois,Local,Audrey Victoria Cosgrove,Cook County Circuit Court 11th Subcircuit,Democratic,N,https://www.linkedin.com/in/audrey-cosgrove-66960010
Illinois,Local,Dawn Gonzalez,Cook County Circuit Court 11th Subcircuit,Democratic,Y,https://www.linkedin.com/in/dawngonzales1
Illinois,Local,Steve Demitro,Cook County Circuit Court 14th Subcircuit,Democratic,N,https://www.linkedin.com/in/lily-amberg
Illinois,Local,Lloyd Brooks,Cook County Circuit Court 17th Subcircuit,Democratic,N,https://www.linkedin.com/in/thebrookswright
Indiana,Federal,Deborah A. Pickett,U.S. House Indiana District 5,Democratic,N,https://www.linkedin.com/in/deborah-pickett-4992a991
Indiana,Federal,Curtis Godfrey,U.S. House Indiana District 7,Democratic,N,https://www.linkedin.com/in/curtis-godfrey-8937347a
Indiana,Federal,Erik Hurt,U.S. House Indiana District 8,Democratic,N,https://www.linkedin.com/in/eric-blank-iuksb-0bb432196
Indiana,Federal,Peter Priest II,U.S. House Indiana District 8,Democratic,N,https://www.linkedin.com/in/xenophore
Indiana,State,Tim Swager,Indiana State Senate District 10,Democratic,N,https://www.linkedin.com/in/tim-swager-84683561
Indiana,State,Carolyn Jackson,Indiana House of Representatives District 1,Democratic,Y,https://www.linkedin.com/in/christinahale1
Indiana,State,Erika Robinson-Watkins,Indiana House of Representatives District 4,Democratic,N,https://www.linkedin.com/in/stephen-caunt-20b0061a
Indiana,State,Michael Katcher,Indiana House of Representatives District 30,Democratic,N,https://www.linkedin.com/in/michaelkatcher
Indiana,State,John E. Bartlett,Indiana House of Representatives District 33,Democratic,N,https://www.linkedin.com/in/andrew-bochnicka-a24944163
Indiana,State,Jim Phillips,Indiana House of Representatives District 33,Democratic,N,https://www.linkedin.com/in/jim-phillips-061a2a12
Indiana,State,Philip Gift,Indiana House of Representatives District 35,Democratic,N,https://www.linkedin.com/in/amheaton
Indiana,State,Dan Sikes,Indiana House of Representatives District 41,Democratic,N,https://www.linkedin.com/in/dan-sikes
Indiana,State,Michael Potter,Indiana House of Representatives District 47,Democratic,N,https://www.linkedin.com/in/michael-potter-148300b
Indiana,State,Joe Swisher,Indiana House of Representatives District 50,Democratic,N,https://www.linkedin.com/in/joeswisher
Indiana,State,Walt Sorg,Indiana House of Representatives District 52,Democratic,N,https://www.linkedin.com/in/landonsorg
Indiana,State,Nate Anderson,Indiana House of Representatives District 53,Democratic,N,https://www.linkedin.com/in/nate-anderson-8838ab196
Indiana,State,Ross Thomas,Indiana House of Representatives District 59,Democratic,N,https://www.linkedin.com/in/thomasaross
Indiana,State,Lisa Barker,Indiana House of Representatives District 68,Democratic,N,https://www.linkedin.com/in/lisa-barker-4657322a
Indiana,State,Jason Applegate,Indiana House of Representatives District 72,Democratic,N,https://www.linkedin.com/in/jason-applegate-09b758142
Indiana,State,Kyle Miller,Indiana House of Representatives District 82,Democratic,Y,https://www.linkedin.com/in/kyle-miller-cpa-mba-6598008
Indiana,State,Stephanie Yocum,Indiana House of Representatives District 88,Democratic,N,https://www.linkedin.com/in/stephanie-yocum-4ab37343
Indiana,State,John L. Bartlett,Indiana House of Representatives District 95,Democratic,Y,https://www.linkedin.com/in/jpbartlett
